weekday_averages,weekday_counts,weekday_totals,weekend_averages,weekend_counts,weekend_totals
654,95,62196,564,94,53090
608,104,63315,609,102,62119
616,94,57943,606,94,57019
659,88,58013,569,88,50099
668,91,60863,567,90,51109
733,95,69702,507,95,48200
632,77,48669,610,77,47042
656,88,57800,608,86,52328
635,100,63574,618,100,61812
669,83,55574,599,81,48599
547,100,54770,707,100,70735
596,98,58422,664,98,65098
595,98,58312,676,96,64939
722,94,67945,569,91,51840
602,76,45767,674,75,50592
684,100,68412,598,100,59826
692,95,65787,605,93,56357
585,88,51501,705,87,61378
732,98,71815,574,96,55142
769,96,73909,557,94,52411
753,104,78392,584,102,59640
720,106,76422,600,105,63032
704,88,61966,617,87,53763
694,97,67405,619,97,60127
599,89,53354,736,87,64082
758,112,84994,583,111,64809
738,96,70894,612,93,56923
787,84,66133,557,84,46818
804,89,71587,555,87,48344
739,71,52488,616,70,43147
729,89,64937,616,89,54834
849,81,68838,506,81,41042
784,91,71397,583,91,53119
526,82,43175,828,81,67109
627,80,50220,740,79,58501
550,92,50667,823,91,74975
588,77,45315,780,77,60086
739,65,48039,641,65,41710
764,71,54270,630,71,44800
661,73,48325,723,73,52823
771,89,68633,639,88,56291
786,77,60592,640,75,48004
811,82,66546,607,81,49218
624,83,51856,784,82,64365
655,95,62234,772,93,71848
678,77,52215,746,76,56718
667,78,52065,781,75,58588
691,74,51192,750,73,54796
788,73,57576,665,72,47947
673,77,51894,805,73,58800
692,71,49175,765,70,53559
815,60,48913,641,59,37830
725,66,47874,726,66,47925
759,63,47849,694,63,43725
670,72,48266,807,71,57324
968,64,62010,550,61,33599
839,67,56278,669,65,43516
922,66,60874,581,65,37797
790,59,46654,705,58,40926
840,51,42880,668,50,33436
695,75,52188,807,74,59725
808,54,43648,708,53,37567
847,62,52572,679,61,41441
801,64,51325,735,62,45590
821,57,46849,725,55,39882
805,56,45120,721,55,39686
791,65,51416,735,65,47781
810,65,52688,720,64,46104
799,61,48791,732,61,44689
825,50,41264,744,49,36501
729,52,37940,815,52,42431
715,42,30060,820,42,34441
944,52,49123,618,52,32167
801,54,43283,784,52,40808
744,54,40185,826,54,44657
855,55,47066,740,54,40013
922,51,47042,674,50,33718
842,50,42131,755,49,36997
695,61,42397,907,60,54438
723,59,42711,862,59,50910
863,61,52675,749,60,44998
790,60,47454,806,60,48384
885,56,49606,773,53,41010
754,51,38481,874,51,44603
807,58,46825,829,57,47309
805,50,40295,829,50,41484
815,54,44013,819,54,44266
767,50,38395,880,49,43127
910,54,49141,759,53,40257
796,58,46213,854,58,49581
730,53,38727,902,53,47832
637,41,26119,1049,40,41960
920,41,37721,753,41,30878
900,55,49532,819,52,42631
1006,48,48294,727,45,32732
1001,50,50076,744,47,34985
994,47,46743,732,45,32959
888,41,36415,821,40,32843
934,65,60748,805,62,49918
787,55,43299,935,53,49599
945,50,47271,800,48,38427
636,44,28011,1076,43,46302
1003,47,47145,756,45,34038
622,37,23027,1114,36,40116
839,42,35279,889,42,37338
904,45,40686,837,44,36833
944,44,41564,809,44,35626
1016,39,39629,741,39,28932
